Date,直接總訪客,渠道總訪客,行銷總訪客,總訪客,直接新訪客,渠道新訪客,行銷新訪客,新訪客,直客註冊,渠道註冊,行銷註冊,總註冊,直客註冊率,渠道註冊率,行銷註冊率,總註冊率,信用卡驗證成功,證件驗證成功,總驗證成功,驗證率,直客體驗卷,體驗卷,總體驗卷,體驗卷使用率,直客訂閱,渠道七日訂閱,渠道月季年訂閱,行銷訂閱,總訂閱,直客訂閱率,渠道訂閱率,行銷訂閱率,總訂閱率,首次訂閱到期人數,首次訂閱續費人數,7日免費首訂續費人數,首次序費率,直客續費,渠道七日續費,渠道月季年續費,行銷續費,總續費,信用卡續費失敗,七日退訂,七日續費退訂,月退訂,季退訂,年退訂,總退訂,渠道月季年訂閱費用,渠道七日續費費用,累積訪客,累積註冊,累積訂閱用戶,累積付費用戶,站上訂閱人數,站上付費訂閱人數,真實站上付費訂閱人數,累積營收
2022-08-18,1424,8280,125,9829,1282,7518,113,8913,244,758,22,1024,17.13 %,9.15 %,17.60 %,10.42 %,51,18,69,6.74 %,4,2,6,8.70 %,15,24,0,3,42,6.15 %,3.17 %,13.64 %,4.10 %,58,34,34,58.62 %,13,20,0,1,34,0,18,6,0,0,0,18,0,0,240730,27474,1500,532,849,532,462,227263
2022-08-17,1753,10564,173,12490,1597,9746,153,11496,255,746,27,1028,14.55 %,7.06 %,15.61 %,8.23 %,42,27,69,6.71 %,1,1,2,2.90 %,19,20,4,5,48,7.45 %,3.22 %,18.52 %,4.67 %,70,33,33,47.14 %,8,23,0,2,33,0,13,3,0,0,0,13,3996,0,231020,26453,1459,496,843,496,439,214149
2022-08-16,1684,8365,166,10215,1516,7587,145,9248,311,833,34,1178,18.47 %,9.96 %,20.48 %,11.53 %,50,37,87,7.39 %,2,1,3,3.45 %,25,15,4,4,48,8.04 %,2.28 %,11.76 %,4.07 %,52,24,23,46.15 %,10,9,0,5,24,0,18,9,0,0,0,18,2096,0,221997,25428,1416,453,819,452,405,195242
2022-08-15,1714,10166,309,12189,1578,9322,278,11178,302,700,32,1034,17.62 %,6.89 %,10.36 %,8.48 %,51,33,84,8.12 %,2,6,8,9.52 %,12,27,2,3,44,3.97 %,4.14 %,9.38 %,4.26 %,40,45,45,112.50 %,23,21,0,3,47,0,12,3,2,0,0,14,598,0,212133,24253,1371,418,804,418,381,180177
2022-08-14,1740,10361,572,12673,1601,9537,526,11664,273,715,84,1072,15.69 %,6.90 %,14.69 %,8.46 %,62,25,87,8.12 %,3,11,14,16.09 %,22,31,4,1,58,8.06 %,4.90 %,1.19 %,5.41 %,38,3,3,7.89 %,1,2,0,0,3,0,14,0,0,0,0,14,1646,0,203310,23223,1328,371,757,371,343,163729
2022-08-13,1864,10300,1866,14030,1694,9526,1791,13011,304,695,155,1154,16.31 %,6.75 %,8.31 %,8.23 %,64,52,116,10.05 %,4,17,21,18.10 %,17,28,3,2,50,5.59 %,4.46 %,1.29 %,4.33 %,37,0,0,0.00 %,0,0,0,0,0,0,13,2,0,0,0,13,1347,0,192818,22154,1278,356,736,356,330,158794
2022-08-12,1789,11293,662,13744,1613,10422,629,12664,331,572,318,1221,18.50 %,5.07 %,48.04 %,8.88 %,83,58,141,11.55 %,6,13,19,13.48 %,20,22,5,11,58,6.04 %,4.72 %,3.46 %,4.75 %,37,3,3,8.11 %,1,1,0,1,3,0,12,3,0,0,0,12,4745,0,181529,21002,1229,349,721,349,323,155351
2022-08-11,1976,18220,519,20715,1794,17142,483,19419,306,828,118,1252,15.49 %,4.54 %,22.74 %,6.04 %,79,40,119,9.50 %,3,8,11,9.24 %,20,38,5,3,66,6.54 %,5.19 %,2.54 %,5.27 %,37,8,8,21.62 %,5,2,0,1,8,0,20,2,0,0,0,20,4745,0,170239,19787,1175,336,692,336,310,143514
2022-08-10,1905,15060,857,17822,1757,14127,813,16697,324,939,58,1321,17.01 %,6.24 %,6.77 %,7.41 %,96,29,125,9.46 %,3,5,8,6.40 %,18,48,1,4,71,5.56 %,5.22 %,6.90 %,5.37 %,24,8,8,33.33 %,6,2,0,0,8,0,14,2,0,0,0,14,2649,0,157881,18539,1111,320,643,320,298,132680
2022-08-09,1872,12748,28,14648,1658,11982,17,13657,311,975,150,1436,16.61 %,7.65 %,535.71 %,9.80 %,83,46,129,8.98 %,7,13,20,15.50 %,17,28,2,7,54,5.47 %,3.08 %,4.67 %,3.76 %,26,4,4,15.38 %,2,2,0,0,4,0,26,2,0,0,0,26,1498,0,141286,17221,1040,310,593,310,289,127340
2022-08-08,2035,9369,30,11434,1812,8683,26,10521,313,874,8,1195,15.38 %,9.33 %,26.67 %,10.45 %,58,40,98,8.20 %,2,0,2,2.04 %,23,25,3,0,51,7.35 %,3.20 %,0.00 %,4.27 %,37,8,8,21.62 %,6,2,0,0,8,0,0,0,0,0,0,0,897,0,126006,15787,987,302,569,302,284,124048
2022-08-07,1628,8055,55,9738,1455,7396,45,8896,307,381,8,696,18.86 %,4.73 %,14.55 %,7.15 %,50,31,81,11.64 %,3,0,3,3.70 %,18,20,2,2,42,5.86 %,5.77 %,25.00 %,6.03 %,61,16,16,26.23 %,13,3,0,0,16,0,0,0,0,0,0,0,598,0,113624,14596,941,283,561,283,267,116017
2022-08-06,1741,7380,123,9244,1527,6749,110,8386,289,352,19,660,16.60 %,4.77 %,15.45 %,7.14 %,44,9,53,8.03 %,2,0,2,3.77 %,25,15,5,2,47,8.65 %,5.68 %,10.53 %,7.12 %,52,6,6,11.54 %,5,1,0,0,6,0,0,0,0,0,0,0,4295,0,104882,13902,902,262,566,262,253,107388
2022-08-05,1703,5116,281,7100,1489,4652,266,6407,301,329,54,684,17.67 %,6.43 %,19.22 %,9.63 %,49,25,74,10.82 %,3,0,3,4.05 %,21,10,1,8,40,6.98 %,3.34 %,14.81 %,5.85 %,45,8,8,17.78 %,8,0,0,0,8,0,0,0,0,0,0,0,749,0,97041,13243,858,246,557,246,237,98004
2022-08-04,1984,6021,6,8011,1739,5496,4,7239,292,273,51,616,14.72 %,4.53 %,850.00 %,7.69 %,56,30,86,13.96 %,4,0,4,4.65 %,24,13,5,6,48,8.22 %,6.59 %,11.76 %,7.79 %,46,10,10,21.74 %,8,2,0,0,10,0,0,0,0,0,0,0,5195,0,89641,12560,820,235,553,235,227,93815
2022-08-03,1954,8712,22,10688,1744,8174,19,9937,348,279,1,628,17.81 %,3.20 %,4.55 %,5.88 %,43,10,53,8.44 %,5,0,5,9.43 %,15,11,0,0,26,4.31 %,3.94 %,0.00 %,4.14 %,88,21,21,23.86 %,19,2,0,0,21,0,0,0,0,0,0,0,0,0,84054,11946,774,214,572,214,207,81036
2022-08-02,2247,8430,0,10677,2005,8083,0,10088,350,238,0,588,15.58 %,2.82 %,nan %,5.51 %,48,35,83,14.12 %,3,0,3,3.61 %,23,6,0,0,29,6.57 %,2.52 %,nan %,4.93 %,73,18,18,24.66 %,17,1,0,0,18,0,0,0,0,0,0,0,0,0,76353,11323,749,191,601,191,184,73709
2022-08-01,2754,4855,0,7609,2508,4530,0,7038,379,189,0,568,13.76 %,3.89 %,nan %,7.46 %,42,45,87,15.32 %,1,0,1,1.15 %,32,10,0,0,42,8.44 %,5.29 %,nan %,7.39 %,12,3,3,25.00 %,3,0,0,0,3,0,0,0,0,0,0,0,0,0,67568,10735,720,169,580,169,163,67131
2022-07-31,3320,5370,0,8690,3011,5064,0,8075,619,141,0,760,18.64 %,2.63 %,nan %,8.75 %,101,49,150,19.74 %,63,0,63,42.00 %,55,10,2,0,67,8.89 %,8.51 %,nan %,8.82 %,34,7,7,20.59 %,7,0,0,0,7,0,0,0,0,0,0,0,2948,0,59537,10168,679,162,566,162,157,59888
2022-07-30,4746,5130,0,9876,4470,4833,0,9303,756,145,0,901,15.93 %,2.83 %,nan %,9.12 %,99,69,168,18.65 %,98,0,98,58.33 %,56,9,0,0,65,7.41 %,6.21 %,nan %,7.21 %,40,9,9,22.50 %,9,0,0,0,9,0,0,0,0,0,0,0,0,0,52770,9414,613,148,528,148,143,53352
2022-07-29,5028,6024,0,11052,4796,5784,0,10580,829,133,0,962,16.49 %,2.21 %,nan %,8.70 %,114,111,225,23.39 %,99,0,99,44.00 %,49,6,0,0,55,5.91 %,4.51 %,nan %,5.72 %,114,28,28,24.56 %,28,0,0,0,28,0,0,0,0,0,0,0,0,0,45188,8521,550,127,550,127,123,46623
2022-07-28,5324,5033,0,10357,5064,4912,0,9976,790,107,0,897,14.84 %,2.13 %,nan %,8.66 %,102,58,160,17.84 %,69,0,69,43.12 %,41,9,0,0,50,5.19 %,8.41 %,nan %,5.57 %,107,36,36,33.64 %,36,0,0,0,36,0,0,0,0,0,0,0,0,0,35948,7571,495,89,495,89,87,31111
2022-07-27,8275,3871,0,12146,8147,3851,0,11998,1724,108,0,1832,20.83 %,2.79 %,nan %,15.08 %,225,200,425,23.20 %,266,0,266,62.59 %,86,6,0,0,92,4.99 %,5.56 %,nan %,5.02 %,16,6,6,37.50 %,6,0,0,0,6,0,0,0,0,0,0,0,0,0,26351,6680,409,49,406,46,45,19151
2022-07-26,1856,295,0,2151,1764,289,0,2053,1494,59,0,1553,80.50 %,20.00 %,nan %,72.20 %,196,167,363,23.37 %,153,0,153,42.15 %,78,4,0,0,82,5.22 %,6.78 %,nan %,5.28 %,8,4,4,50.00 %,4,0,0,0,4,0,0,0,0,0,0,0,0,0,15929,4859,311,39,308,36,35,15711
2022-07-25,2181,413,0,2594,2064,412,0,2476,347,7,0,354,15.91 %,1.69 %,nan %,13.65 %,32,37,69,19.49 %,52,2,54,78.26 %,13,1,0,0,14,3.75 %,14.29 %,nan %,3.95 %,13,4,4,30.77 %,4,0,0,0,4,0,0,0,0,0,0,0,0,0,8635,3315,225,26,223,24,23,10024
2022-07-24,2418,220,0,2638,2295,219,0,2514,507,0,0,507,20.97 %,0.00 %,nan %,19.22 %,67,73,140,27.61 %,80,0,80,57.14 %,36,0,0,0,36,7.10 %,nan %,nan %,7.10 %,9,2,2,22.22 %,2,0,0,0,2,0,0,0,0,0,0,0,0,0,7327,2962,207,20,206,19,19,8230
2022-07-23,3252,272,0,3524,3185,271,0,3456,749,5,0,754,23.03 %,1.84 %,nan %,21.40 %,88,75,163,21.62 %,122,1,123,75.46 %,41,1,0,0,42,5.47 %,20.00 %,nan %,5.57 %,12,3,3,25.00 %,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5781,2465,169,16,169,16,16,6584
2022-07-22,2351,55,0,2406,2351,55,0,2406,1745,7,0,1752,74.22 %,12.73 %,nan %,72.82 %,286,403,689,39.33 %,300,2,302,43.83 %,120,0,0,0,120,6.88 %,0.00 %,nan %,6.85 %,9,4,4,44.44 %,4,0,0,0,4,0,0,0,0,0,0,0,0,0,2989,1719,124,11,124,11,11,4189
